#1
double tab(8761, 2)
# time	T_room
0	17.0
3600	17.0
7200	17.0
10800	17.0
14400	17.0
18000	17.0
21600	21.0
25200	21.0
28800	21.0
32400	21.0
36000	21.0
39600	21.0
43200	21.0
46800	21.0
50400	21.0
54000	21.0
57600	21.0
61200	21.0
64800	21.0
68400	21.0
72000	17.0
75600	17.0
79200	17.0
82800	17.0
86400	17.0
90000	17.0
93600	17.0
97200	17.0
100800	17.0
104400	17.0
108000	21.0
111600	21.0
115200	21.0
118800	21.0
122400	21.0
126000	21.0
129600	21.0
133200	21.0
136800	21.0
140400	21.0
144000	21.0
147600	21.0
151200	21.0
154800	21.0
158400	17.0
162000	17.0
165600	17.0
169200	17.0
172800	17.0
176400	17.0
180000	17.0
183600	17.0
187200	17.0
190800	17.0
194400	21.0
198000	21.0
201600	21.0
205200	21.0
208800	21.0
212400	21.0
216000	21.0
219600	21.0
223200	21.0
226800	21.0
230400	21.0
234000	21.0
237600	21.0
241200	21.0
244800	17.0
248400	17.0
252000	17.0
255600	17.0
259200	17.0
262800	17.0
266400	17.0
270000	17.0
273600	17.0
277200	17.0
280800	21.0
284400	21.0
288000	21.0
291600	21.0
295200	21.0
298800	21.0
302400	21.0
306000	21.0
309600	21.0
313200	21.0
316800	21.0
320400	21.0
324000	21.0
327600	21.0
331200	17.0
334800	17.0
338400	17.0
342000	17.0
345600	17.0
349200	17.0
352800	17.0
356400	17.0
360000	17.0
363600	17.0
367200	21.0
370800	21.0
374400	21.0
378000	21.0
381600	21.0
385200	21.0
388800	21.0
392400	21.0
396000	21.0
399600	21.0
403200	21.0
406800	21.0
410400	21.0
414000	21.0
417600	17.0
421200	17.0
424800	17.0
428400	17.0
432000	17.0
435600	17.0
439200	17.0
442800	17.0
446400	17.0
450000	17.0
453600	21.0
457200	21.0
460800	21.0
464400	21.0
468000	21.0
471600	21.0
475200	21.0
478800	21.0
482400	21.0
486000	21.0
489600	21.0
493200	21.0
496800	21.0
500400	21.0
504000	17.0
507600	17.0
