Koordinatensystem : Lambert konform konisch
Rechtswert        : 3909500 Meter
Hochwert          : 2599500 Meter
Hoehenlage        : 126 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3909500 2599500  1  1  1   5.6 1009 195  2.6 8  5.0  86    0    0 320 -316  2
3909500 2599500  1  1  2   4.2 1009 199  2.1 8  4.6  87    0    0 321 -316  2
3909500 2599500  1  1  3   3.1 1009 199  1.7 7  4.2  88    0    0 316 -316  2
3909500 2599500  1  1  4   3.0 1009 200  1.8 7  4.2  88    0    0 311 -317  2
3909500 2599500  1  1  5   3.0 1009 199  1.8 7  4.2  88    0    0 311 -317  2
3909500 2599500  1  1  6   3.0 1009 214  1.8 8  4.2  88    0    0 318 -317  2
3909500 2599500  1  1  7   3.1 1009 195  2.0 8  4.2  88    0    0 324 -317  2
3909500 2599500  1  1  8   3.0 1009 203  2.1 8  4.2  89    0    0 325 -318  2
3909500 2599500  1  1  9   3.1 1009 202  2.7 8  4.2  89    0    0 325 -318  2
3909500 2599500  1  1 10   3.3 1009 215  3.4 8  4.3  89    0    7 325 -319  2
3909500 2599500  1  1 11   3.3 1010 210  2.7 8  4.3  90    0   36 326 -322  2
3909500 2599500  1  1 12   3.5 1010 210  2.8 8  4.4  90    0   58 326 -325  2
3909500 2599500  1  1 13   3.7 1009 223  3.5 6  4.5  91    0   70 315 -327  2
3909500 2599500  1  1 14   3.9 1009 219  3.6 7  4.6  92    0   58 309 -328  2
3909500 2599500  1  1 15   4.0 1009 206  2.7 8  4.6  92    0   34 322 -329  2
3909500 2599500  1  1 16   4.4 1009 223  3.3 8  4.7  91    0   15 330 -330  2
3909500 2599500  1  1 17   4.6 1009 242  3.4 8  4.8  91    0    0 331 -330  2
3909500 2599500  1  1 18   4.8 1009 239  2.4 8  4.9  91    0    0 332 -331  2
3909500 2599500  1  1 19   5.0 1009 218  2.5 8  4.9  91    0    0 332 -332  2
3909500 2599500  1  1 20   5.3 1010 151  2.0 6  4.9  90    0    0 319 -332  2
3909500 2599500  1  1 21   4.4 1010  65  2.7 5  4.8  89    0    0 298 -331  2
3909500 2599500  1  1 22   3.8 1011 161  1.5 5  4.6  89    0    0 289 -329  2
3909500 2599500  1  1 23   3.3 1011 160  1.1 5  4.4  90    0    0 286 -328  2
