Koordinatensystem : Lambert konform konisch
Rechtswert        : 3884500 Meter
Hochwert          : 2925500 Meter
Hoehenlage        : 9 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3884500 2925500  1  1  1   5.4 1021 210  2.2 8  5.3  94    0    0 332 -331  2
3884500 2925500  1  1  2   4.7 1021 208  2.3 8  4.9  93    0    0 332 -331  2
3884500 2925500  1  1  3   4.1 1021 208  2.4 8  4.6  92    0    0 334 -331  2
3884500 2925500  1  1  4   4.2 1021 211  2.6 8  4.6  92    0    0 334 -332  2
3884500 2925500  1  1  5   4.3 1020 211  2.6 8  4.7  92    0    0 336 -334  2
3884500 2925500  1  1  6   4.5 1020 212  2.6 8  4.7  91    0    0 336 -336  2
3884500 2925500  1  1  7   4.3 1020 212  2.1 8  4.7  92    0    0 337 -338  2
3884500 2925500  1  1  8   4.2 1019 200  3.5 8  4.8  94    0    0 337 -340  2
3884500 2925500  1  1  9   4.1 1019 200  2.9 8  4.9  96    0    0 338 -342  2
3884500 2925500  1  1 10   4.3 1019 209  2.9 8  4.9  96    2   25 339 -344  2
3884500 2925500  1  1 11   4.5 1019 229  3.5 7  5.0  96    0   45 335 -346  2
3884500 2925500  1  1 12   5.1 1019 230  3.5 8  5.1  96    0   33 336 -348  2
3884500 2925500  1  1 13   5.6 1019 266  4.5 8  5.4  97    0   31 345 -350  2
3884500 2925500  1  1 14   6.7 1019 296  4.4 7  5.6  95    0   41 343 -351  2
3884500 2925500  1  1 15   7.7 1020 317  5.0 5  5.6  89   24   50 326 -348  2
3884500 2925500  1  1 16   7.3 1020 306  3.9 5  5.6  88   14   20 313 -343  2
3884500 2925500  1  1 17   6.8 1021 285  2.3 5  5.5  89    0    0 311 -337  2
3884500 2925500  1  1 18   4.9 1022 265  1.5 3  5.2  91    0    0 292 -332  2
3884500 2925500  1  1 19   3.2 1022 255  1.6 1  4.8  96    0    0 259 -329  2
3884500 2925500  1  1 20   2.5 1023 255  2.0 1  4.5  98    0    0 241 -326  2
3884500 2925500  1  1 21   3.1 1023 276  2.7 5  4.4  95    0    0 264 -324  2
3884500 2925500  1  1 22   2.9 1024 258  2.6 6  4.3  92    0    0 293 -322  2
3884500 2925500  1  1 23   3.0 1025 251  1.9 6  4.4  96    0    0 296 -320  2
3884500 2925500  1  1 24   2.5 1025 254  2.0 7  4.4  97    0    0 299 -319  2
3884500 2925500  1  2  1   1.9 1025 244  2.7 8  4.3  98    0    0 305 -318  2
3884500 2925500  1  2  2   1.4 1025 225  2.0 8  4.2  99    0    0 305 -317  2
3884500 2925500  1  2  3   1.6 1025 245  1.9 8  4.1  99    0    0 300 -316  2
3884500 2925500  1  2  4   2.0 1026 264  2.6 8  4.2  99    0    0 298 -315  2
3884500 2925500  1  2  5   1.8 1025 264  3.3 8  4.2  99    0    0 297 -315  2
3884500 2925500  1  2  6   2.4 1026 235  3.2 8  4.3  98    0    0 297 -315  2
3884500 2925500  1  2  7   2.6 1026 214  2.3 8  4.4  98    0    0 298 -315  2
3884500 2925500  1  2  8   3.2 1026 185  3.7 6  4.6  99    0    0 289 -315  2
3884500 2925500  1  2  9   3.8 1025 225  3.7 8  4.7  98    0    0 293 -315  2
3884500 2925500  1  2 10   3.7 1026 225  3.0 8  4.8  98    0   11 310 -315  2
3884500 2925500  1  2 11   4.0 1026 193  3.4 7  4.9  98    0   48 306 -317  2
