Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
TRY2015_479998078444_Jahr.dat;685324;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_479998078444_Jahr.dat
TRY2015_479998078444_Somm.dat;685325;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_479998078444_Somm.dat
TRY2015_479998078444_Wint.dat;685325;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_479998078444_Wint.dat
TRY2045_479998078444_Jahr.dat;685535;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_479998078444_Jahr.dat
TRY2045_479998078444_Somm.dat;685536;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_479998078444_Somm.dat
TRY2045_479998078444_Wint.dat;685536;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_479998078444_Wint.dat
TRY2015_501262086894_Jahr.dat;685324;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_501262086894_Jahr.dat
TRY2015_501262086894_Somm.dat;685325;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_501262086894_Somm.dat
TRY2015_501262086894_Wint.dat;685325;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_501262086894_Wint.dat
TRY2045_501262086894_Jahr.dat;685535;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_501262086894_Jahr.dat
TRY2045_501262086894_Somm.dat;685536;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_501262086894_Somm.dat
TRY2045_501262086894_Wint.dat;685536;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_501262086894_Wint.dat
TRY2015_504399125880_Jahr.dat;685324;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_504399125880_Jahr.dat
TRY2015_504399125880_Somm.dat;685325;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_504399125880_Somm.dat
TRY2015_504399125880_Wint.dat;685325;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_504399125880_Wint.dat
TRY2045_504399125880_Jahr.dat;685535;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_504399125880_Jahr.dat
TRY2045_504399125880_Somm.dat;685536;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_504399125880_Somm.dat
TRY2045_504399125880_Wint.dat;685536;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_504399125880_Wint.dat
TRY2015_524617133137_Jahr.dat;685323;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_524617133137_Jahr.dat
TRY2015_524617133137_Somm.dat;685324;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_524617133137_Somm.dat
TRY2015_524617133137_Wint.dat;685324;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_524617133137_Wint.dat
TRY2045_524617133137_Jahr.dat;685534;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_524617133137_Jahr.dat
TRY2045_524617133137_Somm.dat;685535;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_524617133137_Somm.dat
TRY2045_524617133137_Wint.dat;685535;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_524617133137_Wint.dat
Koordinaten.txt;22;Thilo;Hartleif;1;"19.06.2025 13:52";Koordinaten.txt
TRY2015_531544082133_Jahr.dat;685322;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_531544082133_Jahr.dat
TRY2015_531544082133_Somm.dat;685323;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_531544082133_Somm.dat
TRY2015_531544082133_Wint.dat;685323;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_531544082133_Wint.dat
TRY2045_531544082133_Jahr.dat;685533;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_531544082133_Jahr.dat
TRY2045_531544082133_Somm.dat;685534;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_531544082133_Somm.dat
TRY2045_531544082133_Wint.dat;685534;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_531544082133_Wint.dat
TRY2015_535578099454_Jahr.dat;685323;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_535578099454_Jahr.dat
TRY2015_535578099454_Somm.dat;685324;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_535578099454_Somm.dat
TRY2015_535578099454_Wint.dat;685324;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2015_535578099454_Wint.dat
TRY2045_535578099454_Jahr.dat;685534;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_535578099454_Jahr.dat
TRY2045_535578099454_Somm.dat;685535;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_535578099454_Somm.dat
TRY2045_535578099454_Wint.dat;685535;Thilo;Hartleif;1;"19.06.2025 13:52";TRY2045_535578099454_Wint.dat
